0.885261	0.202458	0.079310	
0.885261	0.202458	0.083024	
0.885261	0.202458	0.086610	
0.885261	0.202458	0.089877	
0.885261	0.202458	0.093327	
0.885261	0.202458	0.096195	
0.885261	0.202458	0.099107	
0.972004	0.207869	0.087077	
0.971367	0.208864	0.087286	
0.971367	0.208864	0.091186	
1.019382	0.198391	0.084971	
0.996200	0.205752	0.082540	
0.943429	0.209957	0.080586	
0.902713	0.212442	0.079421	
0.876997	0.215834	0.078220	
0.852411	0.215179	0.076970	
0.837386	0.210227	0.076292	
0.836057	0.215321	0.075511	
0.824966	0.215817	0.075012	
0.812364	0.217787	0.074680	
0.814290	0.214427	0.074130	
0.806707	0.213668	0.073562	
0.798722	0.216897	0.073449	
0.797062	0.216364	0.072969	
0.792997	0.217149	0.072559	
0.791916	0.214875	0.071973	
0.794754	0.214390	0.071773	
0.789548	0.215376	0.071792	
0.784676	0.213949	0.071245	
0.776198	0.217067	0.071290	
0.766149	0.212051	0.071140	
0.761190	0.215180	0.070909	
0.763245	0.217071	0.070633	
0.756905	0.219618	0.070685	
0.749366	0.220251	0.070624	
0.742764	0.220520	0.070539	
0.734552	0.221443	0.070663	
0.733305	0.223340	0.070425	
0.730615	0.223498	0.070205	
0.723392	0.223096	0.070266	
0.722673	0.224202	0.069897	
0.716233	0.222822	0.069902	
0.712348	0.223016	0.069767	
0.704403	0.222382	0.069766	
0.701552	0.227350	0.069798	
0.698671	0.227141	0.069560	
0.692991	0.228732	0.069539	
0.688703	0.229376	0.069487	
0.684577	0.230531	0.069434	
0.681749	0.231411	0.069305	
0.676503	0.231761	0.069173	
0.670777	0.234015	0.069234	
0.662479	0.232430	0.069163	
0.660470	0.235260	0.069114	
0.655970	0.235356	0.068963	
0.656358	0.235690	0.068686	
0.651891	0.236537	0.068743	
0.645997	0.235741	0.068750	
0.642497	0.238707	0.068765	
0.636760	0.239460	0.068626	
0.633804	0.239912	0.068593	
0.629792	0.240973	0.068539	
0.625677	0.241184	0.068508	
0.620368	0.242113	0.068482	
0.616013	0.243530	0.068453	
0.610173	0.241807	0.068394	
0.609749	0.243277	0.067886	
0.607668	0.244087	0.068077	
0.607774	0.243997	0.067927	
0.604439	0.244283	0.067885	
0.602429	0.245189	0.068044	
0.601078	0.244182	0.067640	
0.598382	0.245775	0.067776	
0.593320	0.247183	0.067814	
0.588609	0.247561	0.067804	
0.584392	0.248649	0.067837	
0.578485	0.248489	0.067824	
0.576694	0.248085	0.067430	
0.573224	0.248754	0.067582	
0.570229	0.250956	0.067680	
0.566407	0.252238	0.067597	
0.563640	0.252650	0.067600	
0.556739	0.248620	0.067453	
0.557769	0.253997	0.067510	
0.557769	0.253997	0.071073	
